DrawingLink,Time,Agreed,Nathan,Hollen
https://sketch.io/render/sk-435608930579d9b5018aa8bc27a68a74.jpeg,2:20,Realistic,Realistic,Realistic
https://sketch.io/render/sk-943d4406ad742b775d286a19b9dd787f.jpeg,10:50,Realistic,Realistic,Realistic
https://sketch.io/render/sk-c11e88cb05718b82161ad4e412633949.jpeg,10:30,Realistic,Inaccurate,Inaccurate
https://sketch.io/render/sk-849152ce1612d8e60fb2430e9606bcf2.jpeg,4:20,Figurative,Inaccurate,Figurative
https://sketch.io/render/sk-ed89ba187502f6ac64f4316756f8c45f.jpeg,10:40,Realistic,Realistic,Figurative
https://sketch.io/render/sk-20b48119f834187787985162cd8ef173.jpeg,6:20,Realistic,Figurative,Realistic
https://sketch.io/render/sk-a0a8b206ae3648cca5bacc23c654ee0d.jpeg,3:10,Realistic,Realistic,Realistic
https://sketch.io/render/sk-609c1c1e95b9ae2741a4dab043bae292.jpeg,10:20,Realistic,Realistic,Realistic
https://sketch.io/render/sk-5143c0034aece65364c66aa824f43394.jpeg,9:20,Figurative,Figurative,Figurative
https://sketch.io/render/sk-d092c6c2842f74c951afe1c39b942ec1.jpeg,4:30,Figurative,Figurative,Figurative
https://sketch.io/render/sk-ab36374586c3f4ca2c0197b018d71c3f.jpeg,9:20,Figurative,Figurative,Figurative
https://sketch.io/render/sk-36bd9f3550b524802963dbefcca398ef.jpeg,9:30,Realistic,Realistic,Inaccurate
https://sketch.io/render/sk-204448cfa9348750654c7b6368a9f111.jpeg,8:50,Figurative,Figurative,Figurative
https://sketch.io/render/sk-85244176a9d8a75a3c0ec1544b282428.jpeg,6:10,Figurative,Figurative,Figurative
https://sketch.io/render/sk-340658744ba08b78a7d12cc84a782ff0.jpeg,3:50,Realistic,Realistic,Realistic
https://sketch.io/render/sk-f54d3af38e50321b81934342a87b4795.jpeg,10:10,Figurative,Figurative,Figurative
https://sketch.io/render/sk-71913ec91592e898ac4b0e24f45e2abb.jpeg,8:20,Inaccurate,Figurative,Inaccurate
https://sketch.io/render/sk-bbd60b946454d5afcf02efdc29fee16c.jpeg,8:50,Realistic,Realistic,Realistic
https://sketch.io/render/sk-d82b33925f04b6fb459a700bc08d60d3.jpeg,2:20,Figurative,Figurative,Figurative
https://sketch.io/render/sk-23067353eb101d06c99c77aa882ff2b3.jpeg,8:30,Unclear,Figurative,Realistic
https://sketch.io/render/sk-72b35b9fc9b1d8b2c6d0ff1b36b21dc3.jpeg,1:10,Inaccurate,Realistic,Inaccurate
https://sketch.io/render/sk-3b55c22b87ac6c813b7d70e2892add75.jpeg,11:30,Realistic,Realistic,Realistic
https://sketch.io/render/sk-939dc8a65ac46bb74ad7ca7a357475f5.jpeg,5:10,Realistic,Realistic,Realistic
https://sketch.io/render/sk-435831618f4140635c4fe408cb2c67e9.jpeg,1:20,Figurative,Realistic,Figurative
https://sketch.io/render/sk-e2db57aa101bd9bb8b08aee94665b007.jpeg,9:10,Inaccurate,Realistic,Inaccurate
https://sketch.io/render/sk-17b65af90da73bb77e907f998783becc.jpeg,3:10,Realistic,Realistic,Realistic
https://sketch.io/render/sk-ffe0220007ac99dd163f2b3fc5d5ed34.jpeg,4:50,Figurative,Figurative,Figurative
https://sketch.io/render/sk-ef9e5584211703356ed692b2bade611d.jpeg,3:10,Realistic,Realistic,Realistic